team,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,team_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,date,won
TOR,240,36,90,0.4,14,35,0.4,11,16,0.688,8,39,47,27,9,11,14,18,97,,MIN,240,34,100,0.34,8,31,0.258,18,22,0.818,16,46,62,20,8,9,14,14,94,,2023-10-25,1.0
CLE,240,44,94,0.468,17,43,0.395,9,10,0.9,9,29,38,25,10,6,10,23,114,,BRK,240,42,84,0.5,9,27,0.333,20,26,0.769,13,37,50,30,6,6,17,16,113,,2023-10-25,1.0
BRK,240,42,84,0.5,9,27,0.333,20,26,0.769,13,37,50,30,6,6,17,16,113,,CLE,240,44,94,0.468,17,43,0.395,9,10,0.9,9,29,38,25,10,6,10,23,114,,2023-10-25,0.0
NOP,240,40,85,0.471,14,32,0.438,17,22,0.773,11,41,52,22,8,5,21,21,111,,MEM,240,38,91,0.418,12,43,0.279,16,20,0.8,8,29,37,23,8,7,13,19,104,,2023-10-25,1.0
MEM,240,38,91,0.418,12,43,0.279,16,20,0.8,8,29,37,23,8,7,13,19,104,,NOP,240,40,85,0.471,14,32,0.438,17,22,0.773,11,41,52,22,8,5,21,21,111,,2023-10-25,0.0
OKC,240,45,82,0.549,19,39,0.487,15,18,0.833,5,38,43,30,6,4,15,19,124,,CHI,240,39,94,0.415,12,42,0.286,14,18,0.778,13,29,42,26,10,3,12,16,104,,2023-10-25,1.0
CHI,240,39,94,0.415,12,42,0.286,14,18,0.778,13,29,42,26,10,3,12,16,104,,OKC,240,45,82,0.549,19,39,0.487,15,18,0.833,5,38,43,30,6,4,15,19,124,,2023-10-25,0.0
SAC,240,47,102,0.461,19,51,0.373,17,20,0.85,15,30,45,29,6,8,11,25,130,,UTA,240,41,91,0.451,9,28,0.321,23,31,0.742,16,38,54,22,6,2,14,20,114,,2023-10-25,1.0
UTA,240,41,91,0.451,9,28,0.321,23,31,0.742,16,38,54,22,6,2,14,20,114,,SAC,240,47,102,0.461,19,51,0.373,17,20,0.85,15,30,45,29,6,8,11,25,130,,2023-10-25,0.0
DAL,240,47,99,0.475,15,47,0.319,17,23,0.739,13,35,48,24,6,3,12,20,126,,SAS,240,46,89,0.517,11,35,0.314,16,22,0.727,9,36,45,33,8,5,19,23,119,,2023-10-25,1.0
